matchID,team_A,team_B,matchWinner,playerScore,matchPlayed
M1,FURIA,Vitality,,{},False
M2,Falcons,MOUZ,,{},False
M3,The MongolZ,Spirit,,{},False
M4,Natus Vincere,G2,,{},False
M5,Aurora,paiN,,{},False
M6,Astralis,FaZe,,{},False
M7,3DMAX,Legacy,,{},False
M8,Liquid,B8,,{},False
M9,FURIA,Vitality,,{},False
M10,Falcons,MOUZ,,{},False
M11,The MongolZ,Spirit,,{},False
M12,Natus Vincere,G2,,{},False
M13,Aurora,paiN,,{},False
M14,Astralis,FaZe,,{},False
M15,3DMAX,Legacy,,{},False
M16,Liquid,B8,,{},False
M17,FURIA,Vitality,,{},False
M18,Falcons,MOUZ,,{},False
M19,The MongolZ,Spirit,,{},False
M20,Natus Vincere,G2,,{},False
M21,Aurora,paiN,,{},False
M22,Astralis,FaZe,,{},False
M23,3DMAX,Legacy,,{},False
M24,Liquid,B8,,{},False
M25,FURIA,Vitality,,{},False
M26,Falcons,MOUZ,,{},False
M27,The MongolZ,Spirit,,{},False
M28,Natus Vincere,G2,,{},False
M29,Aurora,paiN,,{},False
M30,Astralis,FaZe,,{},False
M31,3DMAX,Legacy,,{},False
M32,Liquid,B8,,{},False
M33,FURIA,Vitality,,{},False
M34,Falcons,MOUZ,,{},False
M35,The MongolZ,Spirit,,{},False
M36,Natus Vincere,G2,,{},False
M37,Aurora,paiN,,{},False
M38,Astralis,FaZe,,{},False
M39,3DMAX,Legacy,,{},False
M40,Liquid,B8,,{},False
