teamID,playerGamertag,fullname,phoneNumber,emailAddress,address,link,dateOfBirth
1,FalleN,Bobby,8657432,fallen@hotmail.com,austurstræti,twitter.com/fallen,1996-05-17
1,yuurih,Johhny,8756234,yuurih@gmail.com,backstreet,twitter.com/yuurih,1989-08-05
1,YEKINDAR,Smith,8762312,yekindar@gmail.com,lowstreet,twitter.com/yekindar,1998-04-23
1,KSCERATO,Timmy,8594331,kscerato@gmail.com,awesomestreet,twitter.com/kscerato,1999-06-12
1,moloday,James,8769512,moloday@gmail.com,domostreet,twitter.com/moloday,1987-02-23
2,apEX,Alex Perrin,8123456,apex@gmail.com,oakstreet 12,https://steamcommunity.com/id/apEX_2a9KQ | https://twitter.com/apEX_2a9KQ,1993-03-21
2,ropz,Robin Mets,8345671,ropz@gmail.com,pinestreet 7,https://steamcommunity.com/id/ropz_7Qm4t | https://twitter.com/ropz_7Qm4t,1999-12-02
2,zywOo,Mathieu Herbaut,8654321,zywoo@gmail.com,maplestreet 4,https://steamcommunity.com/id/zywOo_p3V8x | https://twitter.com/zywOo_p3V8x,2000-11-09
2,flameZ,Shahar Shapira,8765432,flamez@gmail.com,riverstreet 19,https://steamcommunity.com/id/flameZ_k8N2b | https://twitter.com/flameZ_k8N2b,2003-04-11
2,mezii,William Merriman,8234567,mezii@gmail.com,highstreet 3,https://steamcommunity.com/id/mezii_W1c6R | https://twitter.com/mezii_W1c6R,1998-09-30
3,NiKo,Nikola Kovac,8456123,niko@gmail.com,backstreet 22,https://steamcommunity.com/id/NiKo_m0J7q | https://twitter.com/NiKo_m0J7q,1997-02-16
3,TeSeS,Rene Madsen,8567234,teses@gmail.com,lowstreet 8,https://steamcommunity.com/id/TeSeS_4nX9L | https://twitter.com/TeSeS_4nX9L,2000-08-27
3,m0NESY,Ilya Osipov,8678345,m0nesy@gmail.com,foreststreet 5,https://steamcommunity.com/id/m0NESY_Z8p2D | https://twitter.com/m0NESY_Z8p2D,2005-05-01
3,kyxsan,Damjan Stoilkovski,8789456,kyxsan@gmail.com,harborstreet 14,https://steamcommunity.com/id/kyxsan_v6H1s | https://twitter.com/kyxsan_v6H1s,2000-10-19
3,kyousuke,Kai Yamamoto,8890567,kyousuke@gmail.com,sunsetstreet 9,https://steamcommunity.com/id/kyousuke_T3r5M | https://twitter.com/kyousuke_T3r5M,2004-01-08
4,Brollan,Ludvig Brolin,8112233,brollan@gmail.com,kingstreet 1,https://steamcommunity.com/id/Brollan_9gK2w | https://twitter.com/Brollan_9gK2w,2002-06-12
4,torzsi,Adam Torzsas,8223344,torzsi@gmail.com,queensstreet 11,https://steamcommunity.com/id/torzsi_J6n0P | https://twitter.com/torzsi_J6n0P,2001-05-09
4,Spinx,Lotan Giladi,8334455,spinx@gmail.com,marketstreet 6,https://steamcommunity.com/id/Spinx_2Vt8a | https://twitter.com/Spinx_2Vt8a,2000-09-13
4,jimpphat,Jim Salo,8445566,jimpphat@gmail.com,gardenstreet 17,https://steamcommunity.com/id/jimpphat_Q1e7B | https://twitter.com/jimpphat_Q1e7B,2006-02-03
4,xertioN,Dorian Berman,8556677,xertion@gmail.com,bridgestreet 2,https://steamcommunity.com/id/xertioN_L4z9C | https://twitter.com/xertioN_L4z9C,2004-07-28
5,bLitz,Ayush Batbold,8129345,blitz@gmail.com,steppe-street 4,https://steamcommunity.com/id/bLitz_5mR2u | https://twitter.com/bLitz_5mR2u,2001-01-15
